Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/05  01:00:00,1.011311864,6.536895925,0,6.508928546,0,0.166173434,0.166173434,0.166173434,0.154019476,0.033179897,0.086369242,0.406034923,0.148890892
 01/05  02:00:00,0.833158944,6.633519754,0,6.607769165,0,0.168374916,0.168374916,0.168374916,0.089844728,0.019354937,0.072238755,0.37385121,0.092850397
 01/05  03:00:00,0.773763785,6.799485614,0,6.774033583,0,0.172295661,0.172295661,0.172295661,0.064174796,0.013824955,0.059715255,0.369516703,0.077592415
 01/05  04:00:00,0.768518362,6.905912517,0,6.880818755,0,0.174963513,0.174963513,0.174963513,0.064174796,0.013824955,0.052611026,0.364315295,0.081984777
 01/05  05:00:00,0.813608022,7.051182709,0,7.027036867,0,0.178553923,0.178553923,0.178553923,0.064174796,0.013824955,0.063151709,0.350553236,0.126705403
 01/05  06:00:00,1.065028885,7.140542419,0,7.113597601,0,0.180688011,0.180688011,0.180688011,0.064174796,0.013824955,0.075981488,0.391189237,0.322526398
 01/05  07:00:00,1.661149445,7.714879644,0,7.683747556,0,0.195287395,0.195287395,0.195287395,0.147602041,0.031797395,0.129758031,0.451980695,0.688079888
 01/05  08:00:00,2.054792848,7.148329363,0,7.115249187,0,0.180137095,0.180137095,0.180137095,0.301621517,0.064977292,0.207405929,0.480263352,0.788743664
 01/05  09:00:00,1.96960962,6.580650563,0,6.552683185,0,0.164914912,0.164914912,0.164914912,0.288786568,0.062212303,0.268690649,0.406034923,0.762326265
 01/05  10:00:00,1.701879098,5.911956049,0,5.888153549,0,0.148345948,0.148345948,0.148345948,0.147602041,0.031797395,0.330033496,0.345568553,0.681887665
 01/05  11:00:00,1.600080457,5.929459329,0,5.905097033,0,0.150012115,0.150012115,0.150012115,0.121932142,0.026267417,0.34487662,0.353695754,0.586652409
 01/05  12:00:00,1.478185942,3.861756846,0,3.837387086,0,0.096827965,0.096827965,0.096827965,0.121932142,0.026267417,0.361119726,0.353804116,0.501590575
 01/05  13:00:00,1.366687187,2.657276078,0,2.633316835,0,0.066907063,0.066907063,0.066907063,0.121932142,0.026267417,0.351845974,0.347844169,0.435246421
 01/05  14:00:00,1.285545584,1.860545463,0,1.835757722,0,0.047104615,0.047104615,0.047104615,0.121932142,0.026267417,0.317847783,0.359872426,0.395877201
